date,equity,return_percent,fills
2019-01-02,100000.0,0.0,0
2019-01-03,100000.0,0.0,0
2019-01-04,100000.0,0.0,0
2019-01-07,100000.0,0.0,0
2019-01-08,100000.0,0.0,0
2019-01-09,100000.0,0.0,0
2019-01-10,100000.0,0.0,0
2019-01-11,100000.0,0.0,0
2019-01-14,100000.0,0.0,0
2019-01-15,100000.0,0.0,0
2019-01-16,100000.0,0.0,0
2019-01-17,100000.0,0.0,0
2019-01-18,100000.0,0.0,0
2019-01-21,100000.0,0.0,0
2019-01-22,100000.0,0.0,0
2019-01-23,100000.0,0.0,0
2019-01-24,100000.0,0.0,0
2019-01-25,100000.0,0.0,0
2019-01-28,100000.0,0.0,0
2019-01-29,100000.0,0.0,0
2019-01-30,100000.0,0.0,0
2019-01-31,100000.0,0.0,0
2019-02-01,100000.0,0.0,0
2019-02-04,100000.0,0.0,0
2019-02-05,100000.0,0.0,0
2019-02-06,100000.0,0.0,0
2019-02-07,100000.0,0.0,0
2019-02-08,100000.0,0.0,0
2019-02-11,100000.0,0.0,0
2019-02-12,100000.0,0.0,0
2019-02-13,100000.0,0.0,0
2019-02-14,100000.0,0.0,0
2019-02-15,100000.0,0.0,0
2019-02-18,100000.0,0.0,0
2019-02-19,100000.0,0.0,0
2019-02-20,100000.0,0.0,0
2019-02-21,100000.0,0.0,0
2019-02-22,100000.0,0.0,0
2019-02-25,100000.0,0.0,0
2019-02-26,100000.0,0.0,0
2019-02-27,100000.0,0.0,0
2019-02-28,100000.0,0.0,0
2019-03-01,100000.0,0.0,0
2019-03-04,100000.0,0.0,0
2019-03-05,100000.0,0.0,0
2019-03-06,100000.0,0.0,0
2019-03-07,100000.0,0.0,0
2019-03-08,100000.0,0.0,0
2019-03-11,100000.0,0.0,0
2019-03-12,100000.0,0.0,0
2019-03-13,100000.0,0.0,0
2019-03-14,100000.0,0.0,0
2019-03-15,100000.0,0.0,0
2019-03-18,100000.0,0.0,0
2019-03-19,99106.2384,-0.8937615999999982,1
2019-03-20,99519.5412,0.4170300544874772,0
2019-03-21,100412.32479999999,0.8970937659427136,0
2019-03-22,100796.67880000001,0.3827757207748972,0
2019-03-25,100401.8928,-0.39166568254033196,0
2019-03-26,101315.40999999999,0.9098605360156942,0
2019-03-27,102619.2144,1.2868766952628619,0
2019-03-28,100640.4596,-1.9282498034792983,0
2019-03-29,102025.2424,1.3759702663361129,0
2019-04-01,102582.6372,0.5463302873760068,0
2019-04-02,101579.4048,-0.9779748575229563,0
2019-04-03,99963.2924,-1.5909843173249172,0
2019-04-04,99645.7032,-0.3177058221823903,0
2019-04-05,96076.916,-3.5814762557669466,0
2019-04-08,96145.2456,0.0711196849823903,0
2019-04-09,94740.57680000001,-1.4609862310237642,0
2019-04-10,94568.9052,-0.18120176781530883,0
2019-04-11,93635.37160000001,-0.9871464600607172,0
2019-04-12,92350.67079999999,-1.3720250991133165,0
2019-04-15,90349.22639999999,-2.1672223738736562,0
2019-04-16,90246.9928,-0.11315381887981868,0
2019-04-17,90308.5416,0.06820038883332824,0
2019-04-18,89891.1964,-0.4621325874672233,0
2019-04-19,91258.31,1.5208537151030654,0
2019-04-22,91316.338,0.06358653803693048,0
2019-04-23,92020.62839999999,0.7712643930158247,0
2019-04-24,92259.3908,0.2594661698702483,0
2019-04-25,91783.5612,-0.5157519422944179,0
2019-04-26,91308.97039999999,-0.5170760360516558,0
2019-04-29,91124.9108,-0.20157888014034064,0
2019-04-30,90834.37959999999,-0.3188274177163941,0
2019-05-01,91870.92919999998,1.1411423786506392,0
2019-05-02,91636.07879999999,-0.25563080949005945,0
2019-05-03,93148.3928,1.6503477885612128,0
2019-05-06,94717.6916,1.6847298732995508,0
2019-05-07,94508.98640000001,-0.22034447469578833,0
2019-05-08,96282.6872,1.8767535951480507,0
2019-05-09,95982.31079999999,-0.31197342817828044,0
2019-05-10,96754.86559999999,0.8048928949103695,0
2019-05-13,96766.2104,0.011725301802290033,0
2019-05-14,97695.1148,0.9599470684655387,0
2019-05-15,97368.5932,-0.33422510497934654,0
